Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Internal standard retention time (min),Normalization factor,
20MC_GroupC_Bluegill_Sunfish_2xdilution,Sample,Blender,Biota,20MC,PFNA,3.99E+03,4.02,1.08E+05,4.01,0.1946,FALSE
20MC_GroupC_Catfish_3_2xdilution,Sample,Blender,Biota,20MC,PFNA,2.22E+03,4.09,3.16E+04,4.01,1.0773,FALSE
20MC_GroupC_Nymphs_3_2xdilution,Sample,Homogenizer,Biota,20MC,PFNA,1.33E+04,4.02,5.91E+04,4.01,0.5289,FALSE
20MC_GroupC_Slug_2xdilution,Sample,Homogenizer,Biota,20MC,PFNA,1.90E+03,4.03,5.35E+04,4.03,0.5593,FALSE
20MC_GroupC_Beetle_2xdilution,Sample,Pestle,Biota,20MC,PFNA,6.71E+03,4.03,6.60E+04,4.02,0.2705,FALSE
20MC_GroupC_Whirligig_2xdilution,Sample,Pestle,Biota,20MC,PFNA,2.07E+03,4.02,5.42E+04,4.01,0.0547,FALSE
NIA_Water_Lab_Blank,Blank,Lab,Water,NIA,PFNA,1.65E+03,4.07,5.39E+04,4.04,1,FALSE
NIA_Water_Field_Blank,Blank,Field,Water,NIA,PFNA,1.69E+03,4.02,6.23E+04,4.03,1,FALSE
NIA_Water_Spike_1,Spike,Field,Water,NIA,PFNA,3.79E+05,4.04,6.11E+04,4.04,1,FALSE
NIA_Water_Spike_2,Spike,Field,Water,NIA,PFNA,4.24E+05,4.05,6.15E+04,4.04,1,FALSE
NIA_Water_Sample_1,Sample,Field,Water,NIA,PFNA,8.72E+03,4.04,6.27E+04,4.03,100,FALSE
NIA_Water_Sample_2,Sample,Field,Water,NIA,PFNA,4.62E+04,4.03,5.29E+04,4.03,100,FALSE
NIA_Water_Sample_3,Sample,Field,Water,NIA,PFNA,6.14E+03,4.07,5.77E+04,4.04,100,FALSE
NIA_Water_Sample_4,Sample,Field,Water,NIA,PFNA,7.31E+03,4.06,4.84E+04,4.04,100,FALSE
NIA_0 ng/mL,Calibration curve,Lab,N/A,NIA,PFNA,0.00E+00,0,6.30E+04,4.05,1,FALSE
NIA_0.2 ng/mL,Calibration curve,Lab,N/A,NIA,PFNA,8.79E+03,4.06,7.71E+04,4.02,1,FALSE
NIA_0.4 ng/mL,Calibration curve,Lab,N/A,NIA,PFNA,1.42E+04,4.03,8.70E+04,4.03,1,FALSE
NIA_1 ng/mL,Calibration curve,Lab,N/A,NIA,PFNA,3.38E+04,4.03,9.26E+04,4.03,1,FALSE
NIA_2 ng/mL,Calibration curve,Lab,N/A,NIA,PFNA,6.42E+04,4.04,1.02E+05,4.04,1,FALSE
NIA_4 ng/mL,Calibration curve,Lab,N/A,NIA,PFNA,1.70E+05,4.04,9.46E+04,4.02,1,FALSE
NIA_10 ng/mL,Calibration curve,Lab,N/A,NIA,PFNA,4.11E+05,4.03,9.18E+04,4.03,1,FALSE
NIA_20 ng/mL,Calibration curve,Lab,N/A,NIA,PFNA,7.64E+05,4.05,8.73E+04,4.05,1,FALSE
NIA_40 ng/mL,Calibration curve,Lab,N/A,NIA,PFNA,1.28E+06,4.03,9.35E+04,4.03,1,FALSE
NIA_100 ng/mL,Calibration curve,Lab,N/A,NIA,PFNA,3.33E+06,4.04,8.34E+04,4.04,1,FALSE
NIA_GroupF_Blender_Blank_2x,Blank,Blender,Biota,NIA,PFNA,6.24E+02,4.04,1.19E+04,4.02,1,FALSE
NIA_GroupF_Biota_Spike_2x,Spike,Blender,Biota,NIA,PFNA,4.56E+04,4.02,2.35E+04,4.01,1,FALSE
NIA_GroupF_Mortar_Blank_2x,Blank,Pestle,Biota,NIA,PFNA,1.77E+03,4.03,1.35E+04,4.03,1,FALSE
NIA_GroupF_Homogenizer_Blank_2x,Blank,Homogenizer,Biota,NIA,PFNA,9.57E+02,4,1.64E+04,4,1,FALSE
NIA_GroupF_Crayfish_20x,Sample,Pestle,Biota,NIA,PFNA,1.21E+03,4.04,1.51E+04,4.04,1.338,FALSE
NIA_GroupF_Bug_20x,Sample,Pestle,Biota,NIA,PFNA,8.10E+02,4.06,2.78E+04,4.03,0.2843,FALSE
NIA_GroupF_Shrimp_1_20x,Sample,Homogenizer,Biota,NIA,PFNA,1.00E+03,4.03,2.00E+04,4.03,0.9854,FALSE
NIA_GroupF_Shrimp_2_20x,Sample,Homogenizer,Biota,NIA,PFNA,1.12E+03,4.04,2.23E+04,4.03,1.0054,FALSE
NIA_GroupF_Shrimp_3_20x,Sample,Homogenizer,Biota,NIA,PFNA,1.65E+03,4.02,2.03E+04,4.04,1.0363,FALSE
NIA_GroupF_Shrimp_4_20x,Sample,Homogenizer,Biota,NIA,PFNA,1.27E+03,4.04,2.18E+04,4.02,1.2382,FALSE
NIA_GroupF_Catfish_1A_20x,Sample,Blender,Biota,NIA,PFNA,1.54E+03,4.05,2.11E+04,4.03,1.0587,FALSE
NIA_GroupF_Catfish_1B_20x,Sample,Blender,Biota,NIA,PFNA,1.26E+03,4.02,2.20E+04,4.04,1.1866,FALSE
NIA_GroupF_Catfish_1C_20x,Sample,Blender,Biota,NIA,PFNA,1.77E+03,4.03,2.91E+04,4.03,1.4201,FALSE
NIA_GroupF_Catfish_2_20x,Sample,Blender,Biota,NIA,PFNA,3.85E+02,4.01,2.58E+04,4.02,0.4611,FALSE
NIA_GroupF_Catfish_3_20x,Sample,Blender,Biota,NIA,PFNA,7.48E+02,4.03,3.32E+04,4.03,0.4665,FALSE
NIA_GroupF_Catfish_4_20x,Sample,Blender,Biota,NIA,PFNA,1.92E+03,4.05,3.68E+04,4.02,0.424,FALSE
NIA_GroupF_Crayfish_2x,Sample,Pestle,Biota,NIA,PFNA,1.69E+04,4.02,3.33E+04,4.01,1.338,FALSE
NIA_GroupF_Bug_2x,Sample,Pestle,Biota,NIA,PFNA,1.03E+03,4.06,1.49E+04,4.01,0.2843,FALSE
NIA_GroupF_Shrimp_1_2x,Sample,Homogenizer,Biota,NIA,PFNA,4.66E+03,4.02,9.17E+03,4.01,0.9854,FALSE
NIA_GroupF_Shrimp_2_2x,Sample,Homogenizer,Biota,NIA,PFNA,2.85E+02,4.04,8.73E+01,4.04,1.0054,FALSE
NIA_GroupF_Shrimp_3_2x,Sample,Homogenizer,Biota,NIA,PFNA,9.96E+03,4.04,9.80E+03,4.05,1.0363,FALSE
NIA_GroupF_Shrimp_4_2x,Sample,Homogenizer,Biota,NIA,PFNA,6.98E+03,4.04,1.20E+04,4.04,1.2382,FALSE
NIA_GroupF_Catfish_1A_2x,Sample,Blender,Biota,NIA,PFNA,3.97E+03,4.07,9.50E+03,4.02,1.0587,FALSE
NIA_GroupF_Catfish_1B_2x,Sample,Blender,Biota,NIA,PFNA,0.00E+00,0,0.00E+00,0,1.1866,TRUE
NIA_GroupF_Catfish_1C_2x,Sample,Blender,Biota,NIA,PFNA,0.00E+00,0,0.00E+00,0,1.4201,TRUE
NIA_GroupF_Catfish_2_2x,Sample,Blender,Biota,NIA,PFNA,0.00E+00,0,0.00E+00,0,0.4611,TRUE
NIA_GroupF_Catfish_3_2x,Sample,Blender,Biota,NIA,PFNA,0.00E+00,0,0.00E+00,0,0.4665,TRUE
NIA_GroupF_Catfish_4_2x,Sample,Blender,Biota,NIA,PFNA,0.00E+00,0,0.00E+00,0,0.424,TRUE
NIA_GroupD_Blender_Blank,Blank,Blender,Biota,NIA,PFNA,2.42E+04,4.03,9.47E+04,4.02,1,FALSE
NIA_GroupD_Biota_Spike,Spike,Blender,Biota,NIA,PFNA,4.41E+05,4.05,9.22E+04,4.04,1,FALSE
NIA_GroupD_Bluegill_1_20x,Sample,Blender,Biota,NIA,PFNA,5.32E+03,4.04,7.67E+04,4.04,0.4212,FALSE
NIA_GroupD_Bluegill_2_20x,Sample,Blender,Biota,NIA,PFNA,2.48E+03,4.04,8.58E+04,4.06,0.3059,FALSE
NIA_GroupD_Bluegill_3_20x,Sample,Blender,Biota,NIA,PFNA,4.21E+03,4.05,7.30E+04,4.05,0.5911,FALSE
NIA_GroupD_Crayfish_1_20x,Sample,Pestle,Biota,NIA,PFNA,6.57E+03,4.03,7.88E+04,4.04,1.0304,FALSE
NIA_GroupD_Crayfish_2_20x,Sample,Pestle,Biota,NIA,PFNA,5.08E+03,4.08,7.30E+04,4.05,1.056,FALSE
NIA_GroupD_Crayfish_3_20x,Sample,Pestle,Biota,NIA,PFNA,4.96E+03,4.05,7.00E+04,4.04,0.9936,FALSE
NIA_GroupD_Bug_20x,Sample,Pestle,Biota,NIA,PFNA,4.42E+03,4.02,6.17E+04,4.03,0.2205,FALSE
NIA_GroupD_Bluegill_1_2x,Sample,Blender,Biota,NIA,PFNA,2.40E+04,4.04,6.95E+04,4.03,0.4212,FALSE
NIA_GroupD_Bluegill_2_2x,Sample,Blender,Biota,NIA,PFNA,2.32E+03,4.08,5.34E+04,4.04,0.3059,FALSE
NIA_GroupD_Bluegill_3_2x,Sample,Blender,Biota,NIA,PFNA,9.64E+03,4.04,2.92E+04,4.02,0.5911,FALSE
NIA_GroupD_Crayfish_1_2x,Sample,Pestle,Biota,NIA,PFNA,1.81E+04,4.02,3.33E+04,4,1.0304,FALSE
NIA_GroupD_Crayfish_2_2x,Sample,Pestle,Biota,NIA,PFNA,8.55E+03,4.01,1.91E+04,4.03,1.056,FALSE
NIA_GroupD_Crayfish_3_2x,Sample,Pestle,Biota,NIA,PFNA,7.78E+03,4.02,1.80E+04,4.01,0.9936,FALSE
NIA_GroupD_Bug_2x,Sample,Pestle,Biota,NIA,PFNA,6.31E+03,4.03,1.48E+04,4.02,0.2205,FALSE
NIA_GroupD_sediment_lab_blank,Blank,Lab,Sediment,NIA,PFNA,6.93E+02,4.05,1.86E+04,4.03,1,FALSE
NIA_GroupD_sediment_field_blank,Blank,Field,Sediment,NIA,PFNA,5.57E+03,4.03,2.08E+04,4.03,1,FALSE
NIA_GroupD_sediment_spike,Spike,Field,Sediment,NIA,PFNA,6.21E+04,4.04,1.58E+04,4.03,1,FALSE
NIA_GroupD_sediment_sample_1_20x,Sample,Field,Sediment,NIA,PFNA,0.00E+00,0,2.48E+04,4.03,1.0042,FALSE
NIA_GroupD_sediment_sample_2_20x,Sample,Field,Sediment,NIA,PFNA,0.00E+00,0,3.27E+04,4.05,1.0087,FALSE
NIA_GroupD_sediment_sample_3_20x,Sample,Field,Sediment,NIA,PFNA,0.00E+00,0,4.24E+04,4.04,1.009,FALSE
NIA_GroupD_sediment_sample_1_2x,Sample,Field,Sediment,NIA,PFNA,4.34E+03,4.03,3.15E+04,4.03,1.0042,FALSE
NIA_GroupD_sediment_sample_2_2x,Sample,Field,Sediment,NIA,PFNA,1.94E+03,4.03,2.22E+04,4.04,1.0087,FALSE
NIA_GroupD_sediment_sample_3_2x,Sample,Field,Sediment,NIA,PFNA,1.78E+03,4.03,1.94E+04,4.03,1.009,FALSE
NIA_GroupE_Blender_Blank,Blank,Blender,Biota,NIA,PFNA,5.42E+02,4.02,1.73E+04,4.02,1,FALSE
NIA_GroupE_Biota_Spike,Spike,Homogenizer,Biota,NIA,PFNA,1.21E+05,4.04,2.36E+04,4.03,1,FALSE
NIA_GroupE_Shrimp_1_20x,Sample,Homogenizer,Biota,NIA,PFNA,2.58E+03,4.05,2.72E+04,4.03,1.0419,FALSE
NIA_GroupE_Shrimp_2_20x,Sample,Homogenizer,Biota,NIA,PFNA,1.97E+03,4.04,2.85E+04,4.03,1.0003,FALSE
NIA_GroupE_Shrimp_3_20x,Sample,Homogenizer,Biota,NIA,PFNA,1.57E+03,4.02,2.91E+04,4.02,1.0657,FALSE
NIA_GroupE_Shrimp_4_20x,Sample,Homogenizer,Biota,NIA,PFNA,1.80E+03,4.06,2.71E+04,4.03,2.4803,FALSE
NIA_GroupE_Shrimp_5_20x,Sample,Homogenizer,Biota,NIA,PFNA,1.68E+03,4.05,2.81E+04,4.04,5.9906,FALSE
NIA_GroupE_Shrimp_6_20x,Sample,Homogenizer,Biota,NIA,PFNA,2.01E+03,4.09,3.21E+04,4.03,1,FALSE
NIA_GroupE_PumpkinSeed_1_20x,Sample,Homogenizer,Biota,NIA,PFNA,8.81E+02,4.06,3.01E+04,4.03,0.8698,FALSE
NIA_GroupE_PumpkinSeed_2_20x,Sample,Homogenizer,Biota,NIA,PFNA,2.35E+03,4.09,3.55E+04,4.04,0.8784,FALSE
NIA_GroupE_PumpkinSeed_3_20x,Sample,Homogenizer,Biota,NIA,PFNA,1.58E+03,4.05,3.54E+04,4.04,0.2329,FALSE
NIA_GroupE_Spider_1_20x,Sample,Homogenizer,Biota,NIA,PFNA,1.20E+03,4.09,4.32E+04,4.06,0.0129,FALSE
NIA_GroupE_Beetle_1_20x,Sample,Pestle,Biota,NIA,PFNA,1.86E+03,4.02,5.32E+04,4.04,0.07,FALSE
NIA_GroupE_Nymph_1_20x,Sample,Homogenizer,Biota,NIA,PFNA,2.25E+03,4.06,5.99E+04,4.02,0.2131,FALSE
NIA_GroupE_Shrimp_1_2x,Sample,Homogenizer,Biota,NIA,PFNA,3.67E+04,4.02,5.33E+04,4.03,1.0419,FALSE
NIA_GroupE_Shrimp_2_2x,Sample,Homogenizer,Biota,NIA,PFNA,9.65E+03,4,1.71E+04,3.99,1.0003,FALSE
NIA_GroupE_Shrimp_3_2x,Sample,Homogenizer,Biota,NIA,PFNA,5.63E+03,4.03,9.80E+03,4.02,1.0657,FALSE
NIA_GroupE_Shrimp_4_2x,Sample,Homogenizer,Biota,NIA,PFNA,5.20E+03,4.02,9.16E+03,4.01,2.4803,FALSE
NIA_GroupE_Shrimp_5_2x,Sample,Homogenizer,Biota,NIA,PFNA,3.36E+03,4.03,9.37E+03,4.04,5.9906,FALSE
NIA_GroupE_Shrimp_6_2x,Sample,Homogenizer,Biota,NIA,PFNA,6.09E+03,4.01,9.99E+03,4.02,1,FALSE
NIA_GroupE_PumpkinSeed_1_2x,Sample,Homogenizer,Biota,NIA,PFNA,2.26E+03,4.03,1.13E+04,4.02,0.8698,FALSE
NIA_GroupE_PumpkinSeed_2_2x,Sample,Homogenizer,Biota,NIA,PFNA,4.34E+03,4.03,1.01E+04,4.03,0.8784,FALSE
NIA_GroupE_PumpkinSeed_3_2x,Sample,Homogenizer,Biota,NIA,PFNA,6.60E+02,4.06,1.09E+04,4.01,0.2329,FALSE
NIA_GroupE_Spider_1_2x,Sample,Homogenizer,Biota,NIA,PFNA,2.92E+02,4.05,1.17E+04,4.03,0.0129,FALSE
NIA_GroupE_Beetle_1_2x,Sample,Pestle,Biota,NIA,PFNA,1.60E+03,4.01,1.35E+04,4.02,0.07,FALSE
NIA_GroupE_Nymph_1_2x,Sample,Homogenizer,Biota,NIA,PFNA,2.65E+03,4.05,1.39E+04,4.02,0.2131,FALSE
NIA_GroupE_Sediment_Lab_Blank,Blank,Lab,Sediment,NIA,PFNA,4.66E+02,4.1,1.26E+04,4.03,1,FALSE
NIA_GroupE_Sediment_Field_Blank,Blank,Field,Sediment,NIA,PFNA,2.17E+03,4.05,1.28E+04,4.04,1,FALSE
NIA_GroupE_Sediment_Spike,Spike,Field,Sediment,NIA,PFNA,6.37E+04,4.02,1.09E+04,4.03,1,FALSE
NIA_GroupE_Sediment_Sample_1_20x,Sample,Field,Sediment,NIA,PFNA,1.07E+03,4.07,1.61E+04,4.03,0.9983,FALSE
NIA_GroupE_Sediment_Sample_2_20x,Sample,Field,Sediment,NIA,PFNA,0.00E+00,0,1.84E+04,4.02,1.0174,FALSE
NIA_GroupE_Sediment_Sample_3_20x,Sample,Field,Sediment,NIA,PFNA,9.99E+02,4.04,2.30E+04,4.03,1.0034,FALSE
NIA_GroupE_Sediment_Sample_1_2x,Sample,Field,Sediment,NIA,PFNA,2.37E+03,4.02,2.12E+04,4.01,0.9983,FALSE
NIA_GroupE_Sediment_Sample_2_2x,Sample,Field,Sediment,NIA,PFNA,2.45E+03,4.01,1.72E+04,4.02,1.0174,FALSE
NIA_GroupE_Sediment_Sample_3_2x,Sample,Field,Sediment,NIA,PFNA,1.07E+03,4,1.53E+04,4.03,1.0034,FALSE
NIA_GroupF_Sediment_Lab_Blank,Blank,Lab,Sediment,NIA,PFNA,3.53E+02,4.05,1.93E+03,4.02,0,FALSE
NIA_GroupF_Sediment_Field_Blank,Blank,Field,Sediment,NIA,PFNA,1.89E+03,4.04,1.22E+04,4.05,0,FALSE
NIA_GroupF_Sediment_Spike,Spike,Field,Sediment,NIA,PFNA,7.08E+04,4.04,1.37E+04,4.04,0,FALSE
NIA_GroupF_Sediment_Sample_1_20x,Sample,Field,Sediment,NIA,PFNA,1.36E+03,4.09,1.63E+04,4.05,0.9944,FALSE
NIA_GroupF_Sediment_Sample_2_20x,Sample,Field,Sediment,NIA,PFNA,7.15E+02,4.04,1.90E+04,4.04,0.9981,FALSE
NIA_GroupF_Sediment_Sample_3_20x,Sample,Field,Sediment,NIA,PFNA,6.16E+02,4.03,2.24E+04,4.04,0.9945,FALSE
NIA_GroupF_Sediment_Sample_1_2x,Sample,Field,Sediment,NIA,PFNA,2.76E+03,4.03,2.58E+04,4.04,0.9944,FALSE
NIA_GroupF_Sediment_Sample_2_2x,Sample,Field,Sediment,NIA,PFNA,2.11E+03,4.02,1.90E+04,4.04,0.9981,FALSE
NIA_GroupF_Sediment_Sample_3_2x,Sample,Field,Sediment,NIA,PFNA,1.29E+03,4.02,1.70E+04,4.02,0.9945,FALSE
20MC_0 ng/mL,Calibration curve,Lab,N/A,20MC,PFDA,0.00E+00,2.96,2.08E+05,4.34,1,FALSE
20MC_0.2 ng/mL,Calibration curve,Lab,N/A,20MC,PFDA,4.26E+04,4.3,2.81E+05,4.3,1,FALSE
20MC_0.4 ng/mL,Calibration curve,Lab,N/A,20MC,PFDA,7.48E+04,4.28,3.24E+05,4.28,1,FALSE
20MC_1 ng/mL,Calibration curve,Lab,N/A,20MC,PFDA,1.14E+05,4.28,2.27E+05,4.28,1,FALSE
20MC_2 ng/mL,Calibration curve,Lab,N/A,20MC,PFDA,2.03E+05,4.27,2.52E+05,4.28,1,FALSE
20MC_4 ng/mL,Calibration curve,Lab,N/A,20MC,PFDA,3.82E+05,4.27,1.75E+05,4.27,1,FALSE
20MC_10 ng/mL,Calibration curve,Lab,N/A,20MC,PFDA,9.63E+05,4.27,1.76E+05,4.27,1,FALSE
20MC_20 ng/mL,Calibration curve,Lab,N/A,20MC,PFDA,1.68E+06,4.27,1.72E+05,4.26,1,FALSE
20MC_40 ng/mL,Calibration curve,Lab,N/A,20MC,PFDA,2.70E+06,4.25,1.86E+05,4.25,1,FALSE
20MC_100 ng/mL,Calibration curve,Lab,N/A,20MC,PFDA,6.91E+06,4.25,1.90E+05,4.25,1,FALSE
20MC_water_lab_blank,Blank,Lab,Water,20MC,PFDA,5.02E+04,4.24,1.60E+05,4.25,1,FALSE
20MC_water_field_blank,Blank,Field,Water,20MC,PFDA,1.08E+04,4.25,1.57E+05,4.25,1,FALSE
20MC_water_spike1,Spike,Field,Water,20MC,PFDA,1.31E+06,4.25,1.75E+05,4.24,1,FALSE
20MC_water_spike2,Spike,Field,Water,20MC,PFDA,1.17E+06,4.24,1.69E+05,4.24,1,FALSE
20MC_water_sample_1,Sample,Field,Water,20MC,PFDA,1.45E+04,4.23,1.62E+05,4.23,100,FALSE
20MC_water_sample_2,Sample,Field,Water,20MC,PFDA,9.91E+03,4.24,1.73E+05,4.23,100,FALSE
20MC_water_sample_3,Sample,Field,Water,20MC,PFDA,8.30E+03,4.24,1.59E+05,4.23,100,FALSE
20MC_water_sample_4,Sample,Field,Water,20MC,PFDA,6.44E+03,4.22,1.64E+05,4.22,100,FALSE
20MC_GroupC_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFDA,4.79E+04,4.2,1.59E+05,4.2,1,FALSE
20MC_GroupC_sediment_field_blank,Blank,Field,Sediment,20MC,PFDA,1.06E+04,4.2,6.78E+04,4.2,1,FALSE
20MC_GroupC_sediment_field_spike,Spike,Field,Sediment,20MC,PFDA,6.11E+05,4.18,1.18E+05,4.17,1,FALSE
20MC_GroupC_sediment_1,Sample,Field,Sediment,20MC,PFDA,1.04E+04,4.17,1.00E+05,4.19,0.9993,FALSE
20MC_GroupC_sediment_2,Sample,Field,Sediment,20MC,PFDA,5.40E+03,4.17,7.39E+04,4.19,0.9969,FALSE
20MC_GroupC_sediment_3,Sample,Field,Sediment,20MC,PFDA,3.34E+03,4.17,5.81E+04,4.18,0.9964,FALSE
20MC_GroupA_Biota_Spike_2xdilution,Spike,Pestle,Biota,20MC,PFDA,1.04E+05,4.18,2.50E+04,4.18,1,FALSE
20MC_GroupA_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFDA,2.89E+03,4.17,5.24E+04,4.17,1,FALSE
20MC_GroupA_Crayfish_1_2xdilution,Sample,Pestle,Biota,20MC,PFDA,3.03E+03,4.2,8.77E+04,4.18,1.0527,FALSE
20MC_GroupA_Crayfish_2_2xdilution,Sample,Pestle,Biota,20MC,PFDA,8.16E+03,4.18,4.56E+04,4.17,1.0751,FALSE
20MC_GroupA_Catfish_1_2xdilution,Sample,Blender,Biota,20MC,PFDA,2.97E+03,4.16,4.92E+04,4.16,1.0718,FALSE
20MC_GroupA_Catfish_4_2xdilution,Sample,Blender,Biota,20MC,PFDA,2.45E+04,4.18,4.41E+04,4.16,1.152,FALSE
20MC_GroupA_Bug_3_2xdilution,Sample,Pestle,Biota,20MC,PFDA,1.65E+03,4.17,3.80E+04,4.15,0.1101,FALSE
20MC_GroupA_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFDA,5.36E+03,4.24,1.64E+05,4.21,1,FALSE
20MC_GroupA_sediment_field_blank,Blank,Field,Sediment,20MC,PFDA,2.39E+04,4.22,8.79E+04,4.21,1,FALSE
20MC_GroupA_sediment_field_spike,Spike,Field,Sediment,20MC,PFDA,6.51E+05,4.2,1.13E+05,4.2,1,FALSE
20MC_GroupA_sediment_sample1,Sample,Field,Sediment,20MC,PFDA,1.11E+04,4.19,1.00E+05,4.19,0.9952,FALSE
20MC_GroupA_sediment_sample2,Sample,Field,Sediment,20MC,PFDA,6.48E+03,4.19,8.81E+04,4.19,0.9943,FALSE
20MC_GroupA_sediment_sample3,Sample,Field,Sediment,20MC,PFDA,5.77E+03,4.2,8.22E+04,4.19,0.9996,FALSE
20MC_GroupB_Bug_2xdilution,Sample,Pestle,Biota,20MC,PFDA,1.47E+04,4.19,6.52E+04,4.16,0.1,FALSE
20MC_GroupB_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFDA,1.41E+03,4.19,4.16E+04,4.16,1,FALSE
20MC_GroupB_Bug_1_2xdilution,Sample,Pestle,Biota,20MC,PFDA,1.52E+04,4.16,7.82E+04,4.17,0.2389,FALSE
20MC_GroupB_Bug_2_2xdilution,Sample,Pestle,Biota,20MC,PFDA,2.56E+03,4.18,9.21E+04,4.17,0.0209,FALSE
20MC_GroupB_Bug_4_2xdilution,Sample,Pestle,Biota,20MC,PFDA,7.68E+02,4.16,4.27E+04,4.17,0.0209,FALSE
20MC_GroupB_Crayfish_4_2xdilution,Sample,Pestle,Biota,20MC,PFDA,1.85E+03,4.18,5.71E+04,4.18,0.8841,FALSE
20MC_GroupB_Crayfish_5_2xdilution,Sample,Pestle,Biota,20MC,PFDA,3.36E+03,4.16,1.77E+04,4.16,1.0013,FALSE
20MC_GroupB_Catfish_2_2xdilution,Sample,Blender,Biota,20MC,PFDA,9.01E+03,4.19,1.13E+04,4.18,1.9834,FALSE
20MC_GroupB_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFDA,3.67E+03,4.23,1.26E+05,4.23,1,FALSE
20MC_GroupB_sediment_field_blank,Blank,Field,Sediment,20MC,PFDA,1.70E+04,4.22,1.98E+05,4.22,1,FALSE
20MC_GroupB_sediment_field_spike,Spike,Field,Sediment,20MC,PFDA,5.37E+05,4.22,1.98E+05,4.22,1,FALSE
20MC_GroupB_sediment_sample1,Sample,Field,Sediment,20MC,PFDA,1.45E+04,4.21,2.02E+05,4.21,1.0172,FALSE
20MC_GroupB_sediment_sample2,Sample,Field,Sediment,20MC,PFDA,9.53E+03,4.22,1.70E+05,4.21,1.0119,FALSE
20MC_GroupB_sediment_sample3,Sample,Field,Sediment,20MC,PFDA,9.63E+03,4.2,1.79E+05,4.21,1.0063,FALSE
20MC_GroupC_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFDA,8.97E+03,4.19,1.37E+05,4.18,1,FALSE
20MC_GroupC_Biota_Spike_2xdilution,Spike,Pestle,Biota,20MC,PFDA,6.30E+05,4.18,1.62E+05,4.17,1,FALSE
20MC_GroupC_Crayfish_3_2xdilution,Sample,Pestle,Biota,20MC,PFDA,1.55E+04,4.17,5.34E+04,4.17,0.8155,FALSE
20MC_GroupC_Blender_Blank_2xdilution,Blank,Blender,Biota,20MC,PFDA,1.71E+03,4.17,6.88E+04,4.17,1,FALSE
20MC_GroupC_Bluegill_Sunfish_2xdilution,Sample,Blender,Biota,20MC,PFDA,6.42E+03,4.18,9.69E+04,4.16,0.1946,FALSE
20MC_GroupC_Catfish_3_2xdilution,Sample,Blender,Biota,20MC,PFDA,9.12E+03,4.17,2.32E+04,4.18,1.0773,FALSE
20MC_GroupC_Nymphs_3_2xdilution,Sample,Homogenizer,Biota,20MC,PFDA,1.45E+04,4.16,5.43E+04,4.16,0.5289,FALSE
20MC_GroupC_Slug_2xdilution,Sample,Homogenizer,Biota,20MC,PFDA,1.91E+03,4.19,4.90E+04,4.17,0.5593,FALSE
20MC_GroupC_Beetle_2xdilution,Sample,Pestle,Biota,20MC,PFDA,7.33E+03,4.16,5.49E+04,4.17,0.2705,FALSE
20MC_GroupC_Whirligig_2xdilution,Sample,Pestle,Biota,20MC,PFDA,2.45E+03,4.18,5.51E+04,4.17,0.0547,FALSE
NIA_Water_Lab_Blank,Blank,Lab,Water,NIA,PFDA,2.43E+03,4.18,5.84E+04,4.18,1,FALSE
NIA_Water_Field_Blank,Blank,Field,Water,NIA,PFDA,2.25E+03,4.19,6.94E+04,4.17,1,FALSE
NIA_Water_Spike_1,Spike,Field,Water,NIA,PFDA,4.11E+05,4.19,6.90E+04,4.18,1,FALSE
NIA_Water_Spike_2,Spike,Field,Water,NIA,PFDA,4.53E+05,4.19,7.46E+04,4.19,1,FALSE
NIA_Water_Sample_1,Sample,Field,Water,NIA,PFDA,4.31E+03,4.22,5.76E+04,4.18,100,FALSE
NIA_Water_Sample_2,Sample,Field,Water,NIA,PFDA,3.17E+04,4.2,4.81E+04,4.19,100,FALSE
NIA_Water_Sample_3,Sample,Field,Water,NIA,PFDA,2.25E+03,4.19,4.81E+04,4.18,100,FALSE
NIA_Water_Sample_4,Sample,Field,Water,NIA,PFDA,3.75E+03,4.16,3.79E+04,4.19,100,FALSE
NIA_0 ng/mL,Calibration curve,Lab,N/A,NIA,PFDA,0.00E+00,0,6.14E+04,4.19,1,FALSE
NIA_0.2 ng/mL,Calibration curve,Lab,N/A,NIA,PFDA,9.28E+03,4.17,8.63E+04,4.18,1,FALSE
NIA_0.4 ng/mL,Calibration curve,Lab,N/A,NIA,PFDA,1.88E+04,4.17,8.99E+04,4.18,1,FALSE
NIA_1 ng/mL,Calibration curve,Lab,N/A,NIA,PFDA,4.29E+04,4.17,9.25E+04,4.18,1,FALSE
NIA_2 ng/mL,Calibration curve,Lab,N/A,NIA,PFDA,7.48E+04,4.21,9.52E+04,4.21,1,FALSE
NIA_4 ng/mL,Calibration curve,Lab,N/A,NIA,PFDA,1.90E+05,4.18,8.87E+04,4.18,1,FALSE
NIA_10 ng/mL,Calibration curve,Lab,N/A,NIA,PFDA,4.65E+05,4.19,8.90E+04,4.19,1,FALSE
